learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
1.0,1.0,100.0,?,?,?,1.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,6.207760903316482E-63,1777.0,1.229715109E9
2.0,2.0,100.0,?,?,?,2.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,6.145683294283316E-63,1777.0,1.229715923E9
3.0,3.0,100.0,?,?,?,3.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,6.145683294283316E-63,1778.0,1.22971604E9
4.0,4.0,74.62185935992777,0.0,-Infinity,-Infinity,4.0,0.0,74.62185935992777,0.0,25.37814064007224,0.0,0.9581330951445519,0.04186690485544791,1592.0,1.230585851E9
5.0,5.0,59.39600028280787,0.0,-Infinity,-Infinity,5.0,0.0,59.39600028280787,0.0,40.603999717192124,0.0,0.9581330951445519,0.04186690485544791,1593.0,1.230586083E9
6.0,6.0,49.24628190949698,0.0,-Infinity,-Infinity,6.0,0.0,49.24628190949698,0.0,50.75371809050302,0.0,0.9581330951445519,0.04186690485544791,1594.0,1.230586097E9
7.0,7.0,41.99721528557825,0.0,-Infinity,-Infinity,7.0,0.0,41.99721528557825,0.0,58.00278471442175,0.0,0.9581330951445519,0.04186690485544791,1595.0,1.230586255E9
8.0,8.0,36.561055920912416,0.0,-Infinity,-Infinity,8.0,0.0,36.561055920912416,0.0,63.43894407908758,0.0,0.9581330951445519,0.04186690485544791,1596.0,1.230586268E9
9.0,9.0,32.333501309488994,0.0,-Infinity,-Infinity,9.0,0.0,32.333501309488994,0.0,67.66649869051099,0.0,0.9581330951445519,0.04186690485544791,1597.0,1.230587323E9
10.0,10.0,28.951969937367473,0.0,-Infinity,-Infinity,10.0,0.0,28.951969937367473,0.0,71.04803006263252,0.0,0.9581330951445519,0.04186690485544791,1598.0,1.230587371E9
11.0,11.0,26.18572810446945,0.0,-Infinity,-Infinity,11.0,0.0,26.18572810446945,0.0,73.81427189553054,0.0,0.9581330951445519,0.04186690485544791,1599.0,1.23058815E9
12.0,12.0,23.88095333547534,0.0,-Infinity,-Infinity,12.0,0.0,23.88095333547534,0.0,76.11904666452466,0.0,0.9581330951445519,0.04186690485544791,1600.0,1.230588831E9
13.0,13.0,21.93115313953852,0.0,-Infinity,-Infinity,13.0,0.0,21.93115313953852,0.0,78.06884686046148,0.0,0.9613675356725168,0.03863246432748309,1599.0,1.230659983E9
14.0,14.0,20.26026144440827,0.0,-Infinity,-Infinity,14.0,0.0,20.26026144440827,0.0,79.73973855559173,0.0,0.9621363217126336,0.03786367828736618,1599.0,1.230663758E9
15.0,15.0,18.812496456903993,0.0,-Infinity,-Infinity,15.0,0.0,18.812496456903993,0.0,81.187503543096,0.0,0.9621363217126336,0.03786367828736618,1600.0,1.230664619E9
16.0,16.0,17.546021825712092,0.0,-Infinity,-Infinity,16.0,0.0,17.546021825712092,0.0,82.4539781742879,0.0,0.9628898089105522,0.03711019108944759,1600.0,1.230670187E9
