learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
1.0,1.0,100.0,?,?,?,1.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,4.237237349624542E-158,4407.0,1.302724246E9
2.0,2.0,100.0,?,?,?,2.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,4.237237349624542E-158,4408.0,1.302724463E9
3.0,3.0,100.0,?,?,?,3.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,2.8062462000429066E-158,4380.0,1.30277432E9
4.0,4.0,100.0,?,?,?,4.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,2.8062462000429066E-158,4381.0,1.302776034E9
5.0,5.0,100.0,?,?,?,5.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,2.8062462000429066E-158,4382.0,1.3027764E9
6.0,6.0,100.0,?,?,?,6.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,2.7781837380424773E-158,4382.0,1.302777029E9
7.0,7.0,85.27997172001572,0.0,0.0,0.0,6.0,1.0,100.0,0.0,0.0,100.0,0.9999999999999946,2.7781837380424773E-158,4382.0,1.302777405E9
8.0,8.0,87.18534613682523,0.0,50.25125628140702,0.0,7.0,1.0,100.0,0.0,0.0,100.0,0.9999999999999946,2.7504019006620524E-158,4382.0,1.302777535E9
9.0,9.0,88.66710446323266,0.0,50.25125628140702,0.0,8.0,1.0,100.0,0.0,0.0,100.0,0.9999999999999946,2.7504019006620524E-158,4383.0,1.302777583E9
10.0,10.0,89.85233155719133,0.0,50.25125628140702,0.0,9.0,1.0,100.0,0.0,0.0,100.0,0.9999999999999946,2.7228978816554317E-158,4383.0,1.302781364E9
11.0,11.0,90.82189960432605,0.0,50.25125628140699,0.0,10.0,1.0,100.0,0.0,0.0,100.0,0.9999999999999946,2.7228978816554317E-158,4384.0,1.302781432E9
12.0,12.0,91.62972339806787,0.0,50.25125628140694,0.0,11.0,1.0,100.0,0.0,0.0,100.0,0.9999999999999946,2.61560484075566E-158,4382.0,1.302787451E9
13.0,13.0,84.14846207129372,0.0,32.87812784137987,0.0,11.0,2.0,100.0,0.0,0.0,100.0,0.9999999999999946,2.61560484075566E-158,4382.0,1.30278842E9
14.0,14.0,85.35615976560086,0.0,50.25125628140699,0.0,12.0,2.0,100.0,0.0,0.0,100.0,0.9999999999999946,2.61560484075566E-158,4383.0,1.302788429E9
15.0,15.0,86.40258452335348,0.0,50.25125628140701,0.0,13.0,2.0,100.0,0.0,0.0,100.0,0.9999999999999946,2.5894487923481034E-158,4386.0,1.302790944E9
16.0,16.0,87.3179750878327,0.0,50.251256281406974,0.0,14.0,2.0,100.0,0.0,0.0,100.0,0.9999999999999946,2.537918761380376E-158,4385.0,1.302792879E9
17.0,17.0,81.75833224463635,0.0,39.66935848524952,0.0,14.0,3.0,100.0,0.0,0.0,100.0,0.9999999999999946,2.4874141780289067E-158,4384.0,1.302797071E9
18.0,18.0,82.86063947665802,0.0,50.251256281406974,0.0,15.0,3.0,100.0,0.0,0.0,100.0,0.9999999999999946,2.4874141780289067E-158,4385.0,1.30279711E9
19.0,19.0,83.8466157084248,0.0,50.25125628140702,0.0,16.0,3.0,100.0,0.0,0.0,100.0,0.9999999999999946,2.4874141780289067E-158,4386.0,1.302797206E9
20.0,20.0,79.24201328139958,0.0,42.62338781277059,0.0,16.0,4.0,100.0,0.0,0.0,100.0,0.9913994164535823,0.00860058354641289,4376.0,1.302809223E9
21.0,21.0,80.33297634175668,0.0,50.25125628140702,0.0,17.0,4.0,100.0,0.0,0.0,100.0,0.9916548623854944,0.008345137614500881,4375.0,1.302813492E9
22.0,22.0,81.32441063661811,0.0,50.251256281407045,0.0,18.0,4.0,100.0,0.0,0.0,100.0,0.9916548623854944,0.008345137614500881,4376.0,1.302814354E9
23.0,23.0,82.2292983242494,0.0,50.25125628140703,0.0,19.0,4.0,100.0,0.0,0.0,100.0,0.992063857163559,0.007936142836436559,4383.0,1.302850792E9
24.0,24.0,83.05845787627464,0.0,50.25125628140702,0.0,20.0,4.0,100.0,0.0,0.0,100.0,0.992063857163559,0.007936142836436559,4384.0,1.302850801E9
25.0,25.0,83.82097681499482,0.0,50.251256281406995,0.0,21.0,4.0,100.0,0.0,0.0,100.0,0.992063857163559,0.007936142836436559,4387.0,1.302855282E9
26.0,26.0,84.52454458824748,0.0,50.25125628140702,0.0,22.0,4.0,100.0,0.0,0.0,100.0,0.992063857163559,0.007936142836436559,4388.0,1.302855952E9
27.0,27.0,85.1757114720751,0.0,50.25125628140702,0.0,23.0,4.0,100.0,0.0,0.0,100.0,0.992063857163559,0.007936142836436559,4390.0,1.302858547E9
28.0,28.0,85.78009199424979,0.0,50.25125628140703,0.0,24.0,4.0,100.0,0.0,0.0,100.0,0.992063857163559,0.007936142836436559,4391.0,1.302858788E9
