learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
1.0,1.0,100.0,?,?,?,1.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,1.9418822853221893E-38,1023.0,1.195002354E9
2.0,2.0,100.0,?,?,?,2.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,1.9418822853221893E-38,1024.0,1.195003702E9
3.0,3.0,100.0,?,?,?,3.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,1.6534307623890546E-38,1016.0,1.195049108E9
4.0,4.0,74.62185935992777,0.0,-Infinity,-Infinity,4.0,0.0,74.62185935992777,0.0,25.37814064007224,0.0,0.9042447918618829,0.09575520813811299,1012.0,1.19507769E9
5.0,5.0,59.39600028280787,0.0,-Infinity,-Infinity,5.0,0.0,59.39600028280787,0.0,40.603999717192124,0.0,0.9042447918618829,0.09575520813811299,1013.0,1.195078176E9
6.0,6.0,49.24628190949698,0.0,-Infinity,-Infinity,6.0,0.0,49.24628190949698,0.0,50.75371809050302,0.0,0.8947584577328606,0.10524154226713581,1008.0,1.195135503E9
7.0,7.0,41.99721528557825,0.0,-Infinity,-Infinity,7.0,0.0,41.99721528557825,0.0,58.00278471442175,0.0,0.7656180251256819,0.2343819748743159,1036.0,1.195239687E9
8.0,8.0,36.561055920912416,0.0,-Infinity,-Infinity,8.0,0.0,36.561055920912416,0.0,63.43894407908758,0.0,0.7656180251256819,0.2343819748743159,1037.0,1.195240285E9
9.0,9.0,32.333501309488994,0.0,-Infinity,-Infinity,9.0,0.0,32.333501309488994,0.0,67.66649869051099,0.0,0.7656180251256819,0.2343819748743159,1038.0,1.195240937E9
10.0,10.0,28.951969937367473,0.0,-Infinity,-Infinity,10.0,0.0,28.951969937367473,0.0,71.04803006263252,0.0,0.7656180251256819,0.2343819748743159,1039.0,1.195241081E9
