learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
1.0,1.0,100.0,?,?,?,1.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,1.9418822853221893E-38,1023.0,1.195002354E9
2.0,2.0,100.0,?,?,?,2.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,1.9418822853221893E-38,1024.0,1.195003702E9
3.0,3.0,100.0,?,?,?,3.0,0.0,100.0,0.0,0.0,0.0,0.9999999999999946,1.6534307623890546E-38,1015.0,1.195049108E9
4.0,4.0,74.62185935992777,0.0,-Infinity,-Infinity,4.0,0.0,74.62185935992777,0.0,25.37814064007224,0.0,0.9217075333699548,0.0782924666300408,1009.0,1.19507769E9
5.0,5.0,59.39600028280787,0.0,-Infinity,-Infinity,5.0,0.0,59.39600028280787,0.0,40.603999717192124,0.0,0.9217075333699548,0.0782924666300408,1010.0,1.195078176E9
6.0,6.0,49.24628190949698,0.0,-Infinity,-Infinity,6.0,0.0,49.24628190949698,0.0,50.75371809050302,0.0,0.9191578279063465,0.08084217209364959,1003.0,1.195135503E9
7.0,7.0,56.71724356556251,0.0,-Infinity,-Infinity,7.0,0.0,56.71724356556251,0.0,43.282756434437474,0.0,0.8128358182343186,0.1871641817656787,1024.0,1.195239687E9
8.0,8.0,62.31980459537482,0.0,-Infinity,-Infinity,8.0,0.0,62.31980459537482,0.0,37.68019540462519,0.0,0.8128358182343186,0.1871641817656787,1025.0,1.195240285E9
9.0,9.0,66.67676529658486,0.0,-Infinity,-Infinity,9.0,0.0,66.67676529658486,0.0,33.323234703415125,0.0,0.8128358182343186,0.1871641817656787,1026.0,1.195240937E9
10.0,10.0,70.16180585843385,0.0,-Infinity,-Infinity,10.0,0.0,70.16180585843385,0.0,29.83819414156613,0.0,0.8128358182343186,0.1871641817656787,1027.0,1.195241081E9
