instance class,predicted class,recall(0),recall(1),avg-gmean,timestamp 
0,0,100.0,0.0,0.0,1302724246
0,0,100.0,0.0,0.0,1302724463
0,0,100.0,0.0,0.0,1302774320
0,0,100.0,0.0,0.0,1302776034
0,0,100.0,0.0,0.0,1302776400
0,0,100.0,0.0,0.0,1302777029
1,0,100.0,0.0,0.0,1302777405
0,0,100.0,0.0,0.0,1302777535
0,0,100.0,0.0,0.0,1302777583
0,0,100.0,0.0,0.0,1302781364
0,0,100.0,0.0,0.0,1302781432
0,0,100.0,0.0,0.0,1302787451
1,0,100.0,0.0,0.0,1302788420
0,0,100.0,0.0,0.0,1302788429
0,0,100.0,0.0,0.0,1302790944
0,0,100.0,0.0,0.0,1302792879
1,0,100.0,0.0,0.0,1302797071
0,0,100.0,0.0,0.0,1302797110
0,0,100.0,0.0,0.0,1302797206
1,0,100.0,0.0,0.0,1302809223
0,0,100.0,0.0,0.0,1302813492
0,0,100.0,0.0,0.0,1302814354
0,0,100.0,0.0,0.0,1302850792
0,0,100.0,0.0,0.0,1302850801
0,0,100.0,0.0,0.0,1302855282
0,0,100.0,0.0,0.0,1302855952
0,0,100.0,0.0,0.0,1302858547
0,0,100.0,0.0,0.0,1302858788
0,0,100.0,0.0,0.0,1302859285
0,0,100.0,0.0,0.0,1302863021
0,0,100.0,0.0,0.0,1302863407
0,0,100.0,0.0,0.0,1302863908
0,0,100.0,0.0,0.0,1302863993
0,0,100.0,0.0,0.0,1302871475
0,0,100.0,0.0,0.0,1302877015
0,0,100.0,0.0,0.0,1302877959
0,0,100.0,0.0,0.0,1302878413
0,0,100.0,0.0,0.0,1302879600
0,0,100.0,0.0,0.0,1302879616
0,0,100.0,0.0,0.0,1302894310
0,0,100.0,0.0,0.0,1302986317
1,0,100.0,0.0,0.0,1302986362
0,0,100.0,0.0,0.0,1302986419
0,0,100.0,0.0,0.0,1302987005
0,0,100.0,0.0,0.0,1302988021
0,1,97.03894929688185,0.0,0.0,1303137419
0,1,94.22084133247864,0.0,0.0,1303148952
1,1,94.22084133247864,17.08821860897041,40.1256318854982,1303149001
1,1,94.22084133247864,29.292856277168706,52.535678956935676,1303226769
0,0,94.38553788294438,29.292856277168706,52.58157468018956,1303226804
1,1,94.38553788294438,38.445255999005404,60.23849405914476,1303283675
0,0,94.5426348158556,38.445255999005404,60.288604216021206,1303290205
0,0,94.69263886943502,38.445255999005404,60.3364130733407,1303290205
0,0,94.83601271979224,38.445255999005404,60.38207339051339,1303291734
0,0,94.97317966837608,38.445255999005404,60.425724698924824,1303292915
0,1,92.49158225402635,38.445255999005404,59.63105363406812,1303307758
1,1,92.49158225402635,45.56283056849553,64.91670271395698,1303310313
0,0,92.68465889586449,45.56283056849553,64.98442436131195,1303310489
0,0,92.86986024949346,45.56283056849553,65.04931750193485,1303321121
1,0,92.86986024949346,40.79773756185572,61.553880347749406,1303321174
1,1,92.86986024949346,46.45427061687356,65.6825823196774,1303321233
0,0,93.04764971562354,46.45427061687356,65.74542341603431,1303322378
0,1,90.76165513623302,46.45427061687356,64.93278439535702,1303331893
0,0,90.98536379743315,46.45427061687356,65.0127580711713,1303332987
0,0,91.20059572979086,46.45427061687356,65.08960865185615,1303333974
0,1,89.05290667110397,46.45427061687356,64.31864290949125,1303334638
0,0,89.30725434567698,46.45427061687356,64.41042898028265,1303334658
1,1,89.30725434567698,51.16717550831908,67.59881624164247,1303383643
0,0,89.55244748763195,51.16717550831908,67.69154893928187,1303392764
1,1,89.55244748763195,55.154212768702905,70.27940482595841,1303395579
0,0,89.7889598636138,55.154212768702905,70.37214929642465,1303398895
0,0,90.01723312460607,55.154212768702905,70.46154716300555,1303398970
1,0,90.01723312460607,50.95212109206745,67.7242125280006,1303399132
0,0,90.2376794822185,50.95212109206745,67.80708791892752,1303400602
0,0,90.45068412173305,50.95212109206745,67.8870695363328,1303401545
1,0,90.45068412173305,47.31116625253686,65.41656788718748,1303403664
0,0,90.656607381629,47.31116625253686,65.49099040114763,1303404586
0,1,88.72401990334731,47.31116625253686,64.78917236885076,1303404689
0,1,86.85379724330477,47.31116625253686,64.10268669129336,1303408527
0,0,87.12787090133678,47.31116625253686,64.2037474408053,1303409873
0,0,87.39335068049147,47.31116625253686,64.30148787867188,1303410261
